cpf;nome;Sigla;sexo
1600;ABDULBASET JAROUR;PSB;M
1601;ABELARDO WANDERLINO DA COSTA NETO;REPUBLICANOS;M
1602;ABIDAN HENRIQUE DA SILVA;PSB;M
1603;ABNER DELUQUI ISIDORO;REPUBLICANOS;M
1604;VITOR ABOU ANNI;UNIÃO;M
1605;ADA HENRIQUE XAVIER;PTB;F
1606;ADALBERTO GODOY FREITAS;PSDB;M
1607;JOSE CARLOS ADAO;PSD;M
1608;ADÃO DA SILVA;PROS;M
1609;ADENILDES ALVES ROCHA;SOLIDARIEDADE;F
1610;ADÉLIA OLIVEIRA DE FARIAS;PT;F
1611;ADELMACIR DE SOUZA;PMB;M
1612;ADENILSON PEREIRA DE AMORIM;UNIÃO;M
1613;ADENILTON FERREIRA DA SILVA;SOLIDARIEDADE;M
1614;ADILSON DOS SANTOS;PSTU;M
1615;ADILSON DE SOUZA ROCHA;SOLIDARIEDADE;M
1616;ADMILSON DE SOUZA;UNIÃO;M
1617;ADONAI DOS SANTOS SOARES JÚNIOR;AVANTE;M
1618;ADRIANA SANTOS BARRENHA;AGIR;F
1619;ADRIANA SANCHES GALDEANO BORGO;AGIR;F
1620;ADRIANA COELHO DE OLIVEIRA;PMN;F
1621;ADRIANA APARECIDA FELIX;PP;F
1622;ADRIANA SCANAVEZ DOS SANTOS;PSOL;F
1623;ADRIANA GLEDYS ZINK;PSDB;F
1624;ADRIANA GOMES;PDT;F
1625;ANDROMEDES BARBOSA OKABE;PL;M
1626;ADRIANA NOGUEIRA DO PRADO;PATRIOTA;F
1627;ADRIANA RANGEL RIBEIRO;PMB;F
1628;ADRIANA SOUZA DOS SANTOS PEREIRA;AVANTE;F
1629;ADRIANO BEDORE;PSDB;M
1630;ADRIANO DE BARROS CARUSO;PTB;M
1631;FRANCISCO ADRIANO MACENA DE ALMEIDA;PRTB;M
1632;EWERTON DA SILVA CARVALHO;PC do B;M
1633;AFONSO MARIA SILVA SALES;PTB;M
1634;DANILO MASCARENHAS DE BALAS;PL;M
1635;LUIZ FERNANDO PIVA CRUZ;PSD;M
1636;SÉRGIO DONIZETE FERREIRA;PODE;M
1637;ANTONIO AGNALDO DOS SANTOS;PROS;M
1638;JOSÉ AGRIPINO DA SILVA;MDB;M
1639;AILDO RODRIGUES FERREIRA;REPUBLICANOS;M
1640;AILTON AMARAL DOS SANTOS;PSOL;M
1641;AIRTON DA COSTA LOURENÇO;PDT;M
1642;ÁKILA SEVERO DE AZEVEDO;PROS;F
1643;ALAINE SILVA SOUZA SANTOS;PATRIOTA;M
1644;JOSE ALAOR FERNANDES ROSSI;PATRIOTA;M
1645;ALBERTO DE HOLLANDA HADDAD;PP;M
1646;ALBERTO SABINO DE OLIVEIRA;PP;M
1647;ANTONIO CARLOS ALBINO;PL;M
1648;VALDIR SOARES DE ALBUQUERQUE;SOLIDARIEDADE;M
1649;JOSE ALDO DEMARCHI;UNIÃO;M
1650;ALDO ALMEIDA;AGIR;M
1651;ALEXSANDRA OLIVEIRA BEZERRA;PDT;F
1652;ALEXANDRE EUGENIO BATISTA;PROS;M
1653;ALESSANDRA VECCHIO SOBRINHO;PMN;F
1654;ALEXANDRE GONÇALVES DEMETRIO ZAHRA;PTB;M
1655;GETULIO ALEGRE DOS SANTOS;PATRIOTA;M
1656;CARLOS ALBERTO MARCOS;PT;M
1657;JOSE CANDIDO DA SILVA;DC;M
1658;EDEMIR DE MELO;UNIÃO;M
1659;ALENATO MARTINS VIDAL;AGIR;M
1660;ALESSANDRA ABE;PMB;F
1661;ALESSANDRA CRISTIANE SOARES GARCIA ALGARIN;PODE;F
1662;ALESSANDRA VIEIRA DE CAMARGO TELES;PSDB;F
1663;ALESSANDRA ALMEIDA PEREIRA;PL;F
1664;ALESSANDRA JULIO PAES;SOLIDARIEDADE;F
1665;ALESSANDRA BELLUCCI;REPUBLICANOS;F
1666;ALESSANDRO CÉZAR ARAÚJO AZEVEDO;PT;M
1667;ALESSANDRO FAUSTINO MARTINS;PDT;M
1668;ALEUSON ROSA DA SILVA;PRTB;M
1669;ALEXSANDER MELO BUENO;PDT;M
1670;ALEX CANUTO DE SÁ CUNHA;PROS;M
1671;ALEXANDER MUNIZ DE OLIVEIRA;PL;M
1672;ALEX SANDRO BENTO FERNANDES;PATRIOTA;M
1673;ALEX FABIANO COSTA GARCIA;AGIR;M
1674;ALEX SANDRO GOMES;PT;M
1675;ALEXANDRO DE ARAÚJO;PSD;M
1676;ALEXANDRA DE ABREU;NOVO;F
1677;ALEXANDRE CABRAL DE OLIVEIRA;DC;M
1678;ALEXANDRE DE OLIVEIRA;MDB;M
1679;ALEXANDRE HARTMANN;DC;M
1680;ALEXANDRE RIBEIRO MUSTAFA;PSDB;M
1681;ALEXANDRE PEREIRA DA SILVA;SOLIDARIEDADE;M
1682;ALEXANDRE SÓCRATES NAVISKAS;PSB;M
1683;ALEXANDRE SIMÕES PIMENTEL;PSB;M
1684;ALEXSANDRA BEZERRA LEITE DA SILVA;PSC;F
1685;ALEXYA LUCAS EVANGELISTA SALVADOR;PT;F
1686;ALINE FELIPE SOARES CARVALHO;AVANTE;F
1687;ALINE CATARINE GONDIM;PSOL;F
1688;ALINE CARBALLO TEIXEIRA;UNIÃO;F
1689;ALLI AHMAD MAJDOUB;MDB;M
1690;ALLINSON PAULO NUNES;PSC;M
1691;ALLINY FERNANDA SARTORI PADALINO ROGÉRIO;MDB;F
1692;ALTAIR MORAES DE OLIVEIRA;REPUBLICANOS;M
1693;AMANDA OLIVEIRA BISPO;UP;F
1694;AMANDA LIMA DIAS;PROS;F
1695;AMANDA CAETANO MARCHESONI;PMB;F
1696;AMANDA VETTORAZZO CARNEIRO;UNIÃO;F
1697;AMARINILDA JOSÉ CUSTÓDIO;PROS;F
1698;ANA PAULA CARVALHO BEATHALTER;PATRIOTA;F
1699;ANA CAROLINA ROSSI BARRETO SERRA;CIDADANIA;F
1700;ANA CLAUDIA SEVERINO RIVERA;AGIR;F
1701;ANA IMACULADA VALERIO;SOLIDARIEDADE;F
1702;ANA PAULA MELO PETILO;PMB;F
1703;ANA CLAUDIA SILVA MIELKE;PSOL;F
1704;ANA ANGELA PALERMO;PRTB;F
1705;ANA PAULA MAGALHÃES DA SILVA PETILI;NOVO;F
1706;ANA PAULA ROSSI DE ALMEIDA MAGDESIAN;PL;F
1707;ANA LUCIA LIPPAUS PERUGINI;PT;F
1708;ANA KEYLA SILVA SANTIAGO;PSDB;F
1709;ANA CRISTINA VARGAS CALDEIRA;PL;F
1710;JOSEFA ANADETE DOS SANTOS SILVA;MDB;F
1711;ANALICE FERNANDES;PSDB;F
1712;ANDERSON DOS SANTOS;PP;M
1713;ANDERSON DOS SANTOS MARTINS DE SOUZA;PODE;M
1714;ANDERSON MARTINS SALGADO;SOLIDARIEDADE;M
1715;ANDRÉ NALEPA ABBUD;NOVO;M
1716;ANDRÉ LUIZ BARBEZANI;MDB;M
1717;ANDRE LUIS ANCHÃO BRAGA;PSDB;M
1718;ANDRÉ LUIZ DA SILVA;MDB;M
1719;ANDRÉ LUIZ PREVIATO KODJAOGLANIAN;PSD;M
1720;ANDRE LUIS DO PRADO;PL;M
1721;ANDRE MARTINS MACHADO;PODE;M
1722;ANDRÉ LUIZ GALHARDO JOÃO;PATRIOTA;M
1723;ANDRÉ LUIZ NAVARRO GARCIA MANZANO;NOVO;M
1724;ANDRE PEREIRA DE MEDEIROS;PSD;M
1725;ANDRE CRISTHIANO CAYRES RIBEIRO;UNIÃO;M
1726;ANDRÉA DE PAULA SANTOS;MDB;F
1727;ANDRÉA DAS NEVES NERI DE SANTANA;PSB;F
1728;ANDREA SEIXAS;PATRIOTA;F
1729;ANDRÉA WERNER SILVA BONOLI;PSB;F
1730;ANDREIA TASSIANE ANTONACCI;AGIR;F
1731;ANDREIA PEREIRA FERRAZ;PATRIOTA;F
1732;ANDREIA MARQUETE PASSOS;SOLIDARIEDADE;F
1733;ERICH DE ANDRES;PMN;M
1734;ANDRESSA MAZZEI SIGNORETTI DA SILVA;PRTB;F
1735;ANDREY PEDRO PEREIRA DE ALMEIDA;PMN;M
1736;JOSANGELA SILVEIRA MELO;AVANTE;F
1737;ANGELA OROSCO DE MELO;MDB;F
1738;ANGÉLICA CRISTINA FASSINA HADI;AVANTE;F
1739;ANGÉLICA DIAS DA SILVA;PMN;F
1740;ANGELINA DIAS DA SILVA;PCO;F
1741;ANGELO ANTONIO BUCIOLOTI;PSC;M
1742;ANGELO MARCIO DE JESUS SILVA;PMB;M
