cpf;nome;Partido
27;ANTONIO CARLOS DE OLIVEIRA;PSB
28;ABNER JOAS TOFANELLI;PDT
29;PAULO SERGIO ABOU ANNI;UNIÃO
30;ABRAHAM BRAGANÇA DE VASCONCELLOS WEINTRAUB;PMB
31;ADALBERTO FELICIO MALUF FILHO;PV
32;ADAMARIO MAXIMO DOS SANTOS FILHO;NOVO
33;ADAUTO BENTIVEGNA FILHO;AVANTE
34;ADELAIDE CASTRO DE OLIVEIRA;PODE
35;ADELSON DE SOUZA PENHA;AGIR
36;ADEMILSON DA CONCEIÇÃO CUNHA;REPUBLICANOS
37;ADEMIR DA PENHA CLEMENTE;PRTB
38;ADEMIR RODRIGUES PEREIRA;AVANTE
39;ADÉRITO CÁSSIO DE ASSIS DUTRA;PSOL
40;ADEVAR CAMPANA;PATRIOTA
41;ADILSON BARROSO OLIVEIRA;PL
42;ADILSON DE BRITO FARIAS;NOVO
43;ADONIAS FERREIRA DOS SANTOS;PRTB
44;ADRIANA RAMOS AFONSO EL RIFAI;PTB
45;ADRIANA ALVES DA SILVA RAMALHO;PSD
46;ADRIANA PIERIN;AVANTE
47;ADRIANA MIGUEL VENTURA;NOVO
48;ADRIANA GLEDYS ZINK;PSDB
49;ADRIANO GUIMARÃES SIMÕES;PP
50;ADRIANO CESAR DA SILVEIRA ZAMBELLI;PDT
51;ADRILLES REIS JORGE;PTB
52;ROSINETE DA SILVA MOREIRA;PTB
53;AGNALDO APARECIDO DE ARAUJO;AVANTE
54;AGNALDO CRUZ DE OLIVEIRA;PSD
55;AGNALDO JOSÉ DOS SANTOS;PMB
56;AGOSTINHO FERREIRA GOMES;PSOL
57;AILTON ALCANTARA DOS SANTOS;DC
58;AILTON BISPO DOS ANJOS;PSC
59;UBIRATAN ALAN DE CARVALHO;SOLIDARIEDADE
60;RAFAEL ALBANEZ;PTB
61;ALBERTINO FERREIRA DE OLIVEIRA;PSOL
62;ALBERTO PEREIRA MOURÃO;MDB
63;ALCIDES FERNANDES BARBOSA;MDB
64;ALENCAR SANTANA BRAGA;PT
65;ALESSANDRA ESQUIVEL PRANDI;MDB
66;ALESSANDRA RUDOLPHO STRINGHETA BARBOSA;PATRIOTA
67;ALESSANDRA SOUZA VALIM;PTB
68;ALESSANDRA REGINA VERGILIO;NOVO
69;ALESSANDRO SONEGO DE ALMEIDA;PODE
70;ALESSANDRO AZEVEDO DOS SANTOS;AVANTE
71;ALESSANDRO RUIZ MARTINEZ;PSD
72;ALEX MACEDO DE SOUZA;UNIÃO
73;ALEX SPINELLI MANENTE;CIDADANIA
74;ALEX DOS REIS;UNIÃO
75;ALEXANDRE MARTINS RICCI;PRTB
76;ALEXANDRE LEITE DA SILVA;UNIÃO
77;ALEXANDRE ROCHA SANTOS PADILHA;PT
78;ALEXANDRE MENDES PINHEIRO;NOVO
79;ALEXANDRE LUÍS NOBRE TERRERI;REDE
80;ALEXIS JOSEPH STEVERLYNCK FONTEYNE;NOVO
81;ALEXANDRE DONIZETE TEODORO;PSC
82;ALEXSANDRA RIBEIRO RODRIGUES DA SILVA;PSB
83;ALICE RIBEIRO CORDEIRO DE BARROS;PSOL
84;ALINE CRISTINA DE SOUZA UBIDA;SOLIDARIEDADE
85;ALLAN ARONI;PRTB
86;ALLAN SERGIO NASCIMENTO;AGIR
87;ALTAIR CAMPANA;PTB
88;ANTONIO EDUARDO ALTAVISTA;DC
89;ALUISIO LUNDGREN CORREA REGIS;PROS
